year,period,value
2024,M11,2.8
2024,M10,3.0
2024,M09,2.8
2024,M08,3.4
2024,M07,3.0
2024,M06,2.9
2024,M05,2.9
2024,M04,3.2
2024,M03,3.0
2024,M02,2.8
2024,M01,3.0
2023,M12,3.0
2023,M11,2.8
2023,M10,2.9
2023,M09,3.6
2023,M08,3.6
2023,M07,2.9
2023,M06,2.7
2023,M05,2.6
2023,M04,2.2
2023,M03,2.4
2023,M02,2.5
2023,M01,2.5
2022,M12,3.2
2022,M11,2.7
2022,M10,2.7
2022,M09,2.6
2022,M08,2.4
2022,M07,2.7
2022,M06,2.7
2022,M05,2.9
2022,M04,3.1
2022,M03,2.4
2022,M02,3.1
2022,M01,3.5
2021,M12,3.2
2021,M11,3.8
2021,M10,4.1
2021,M09,3.7
2021,M08,3.6
2021,M07,3.9
2021,M06,4.8
2021,M05,4.4
2021,M04,5.5
2021,M03,4.9
2021,M02,5.3
2021,M01,5.0
2020,M12,5.3
2020,M11,6.2
2020,M10,5.9
2020,M09,6.6
2020,M08,6.4
2020,M07,7.8
2020,M06,8.6
2020,M05,9.4
2020,M04,12.2
2020,M03,4.0
2020,M02,3.5
2020,M01,3.1
2019,M12,2.8
2019,M11,3.3
2019,M10,3.2
2019,M09,3.1
2019,M08,3.5
2019,M07,3.4
2019,M06,3.2
2019,M05,2.9
2019,M04,2.4
2019,M03,2.8
2019,M02,2.7
2019,M01,3.3
2018,M12,3.2
2018,M11,3.1
2018,M10,3.1
2018,M09,3.5
2018,M08,3.9
2018,M07,3.0
2018,M06,3.3
2018,M05,3.6
2018,M04,3.7
2018,M03,3.9
2018,M02,3.4
2018,M01,3.6
2017,M12,3.9
2017,M11,4.0
2017,M10,2.9
2017,M09,3.1
2017,M08,3.7
2017,M07,3.5
2017,M06,3.7
2017,M05,3.6
2017,M04,3.8
2017,M03,3.7
2017,M02,3.8
2017,M01,4.1
2016,M12,4.1
2016,M11,4.8
2016,M10,4.6
2016,M09,4.6
2016,M08,4.4
2016,M07,4.7
2016,M06,4.3
2016,M05,3.6
2016,M04,4.0
2016,M03,4.1
2016,M02,3.8
2016,M01,4.2
2015,M12,4.8
2015,M11,3.7
2015,M10,4.2
2015,M09,4.5
2015,M08,4.2
2015,M07,4.6
2015,M06,4.4
2015,M05,5.2
2015,M04,4.9
2015,M03,4.7
2015,M02,5.2
2015,M01,4.8
2014,M12,4.7
2014,M11,4.6
2014,M10,4.8
2014,M09,5.0
2014,M08,5.7
2014,M07,6.0
2014,M06,5.6
2014,M05,5.2
2014,M04,5.7
2014,M03,5.6
2014,M02,6.1
2014,M01,5.1
